poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
2,stadium,"1,000 Sq. Ft. GFA",1,0.1,0.47,0,1
3,house,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
4,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,0
5,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
6,bar,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
7,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
8,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,0,1
9,bench,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
10,greenhouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
11,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
12,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
13,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,0
14,office,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
15,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
16,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,0,1
17,pharmacy,"1,000 Sq. Ft. GFA",1,10.29,0.1,1,0
18,university;yes,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
19,ice_cream,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,post_office,"1,000 Sq. Ft. GFA",1,11.21,0.1,1,0
21,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
22,car_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
23,arts_centre,"1,000 Sq. Ft. GFA",1,0.18,0.1,1,0
24,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
25,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
26,public,"1,000 Sq. Ft. GFA",1,4.79,0.1,1,0
27,silo,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
28,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
29,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
30,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
31,cafe,"1,000 Sq. Ft. GFA",1,0.1,36.31,0,1
32,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,0,1
33,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
34,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
35,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
36,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,0,1
37,motorcycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
38,smoking_area,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
39,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
40,waste_disposal,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
41,bleachers,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
42,childcare,"1,000 Sq. Ft. GFA",1,11.12,0.1,1,0
43,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
44,barn,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
