zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
1,A1,-76.9587951159789,39.00406581614197,"POLYGON ((-76.96052999999999 39.002939999999995,-76.96052999999999 39.00501,-76.95845999999999 39.00501,-76.95845999999999 39.002939999999995,-76.96052999999999 39.002939999999995))",POINT (-76.9587951159789 39.00406581614197),5,2.4880778889599995,2.4880778889599995
2,A2,-76.95742499999999,39.003975,"POLYGON ((-76.95845999999999 39.002939999999995,-76.95845999999999 39.00501,-76.95638999999998 39.00501,-76.95638999999998 39.002939999999995,-76.95845999999999 39.002939999999995))",POINT (-76.95742499999999 39.003975),0,0.0,0.0
3,A3,-76.95445476037693,39.003708758408656,"POLYGON ((-76.95638999999998 39.002939999999995,-76.95638999999998 39.00501,-76.95431999999998 39.00501,-76.95431999999998 39.002939999999995,-76.95638999999998 39.002939999999995))",POINT (-76.95445476037693 39.003708758408656),1,9.594734452351998,229.31415341121277
4,A4,-76.9527855626259,39.00354889720577,"POLYGON ((-76.95431999999998 39.002939999999995,-76.95431999999998 39.00501,-76.95224999999998 39.00501,-76.95224999999998 39.002939999999995,-76.95431999999998 39.002939999999995))",POINT (-76.9527855626259 39.00354889720577),11,38.128246336192,38.128246336192
5,A5,-76.9510854464518,39.003795250545096,"POLYGON ((-76.95224999999998 39.002939999999995,-76.95224999999998 39.00501,-76.95017999999997 39.00501,-76.95017999999997 39.002939999999995,-76.95224999999998 39.002939999999995))",POINT (-76.9510854464518 39.003795250545096),39,63.16746998688001,63.16746998688001
6,A6,-76.94925956494862,39.00386890509264,"POLYGON ((-76.95017999999997 39.002939999999995,-76.95017999999997 39.00501,-76.94810999999997 39.00501,-76.94810999999997 39.002939999999995,-76.95017999999997 39.002939999999995))",POINT (-76.94925956494862 39.00386890509264),53,85.302698250752,85.302698250752
7,A7,-76.94724613092312,39.00372618538539,"POLYGON ((-76.94810999999997 39.002939999999995,-76.94810999999997 39.00501,-76.94603999999997 39.00501,-76.94603999999997 39.002939999999995,-76.94810999999997 39.002939999999995))",POINT (-76.94724613092312 39.00372618538539),37,55.40739024265599,55.40739024265599
8,A8,-76.94527790081479,39.00386228180643,"POLYGON ((-76.94603999999997 39.002939999999995,-76.94603999999997 39.00501,-76.94396999999996 39.00501,-76.94396999999996 39.002939999999995,-76.94603999999997 39.002939999999995))",POINT (-76.94527790081479 39.00386228180643),15,89.510149367456,89.510149367456
9,A9,-76.94272327527956,39.00376680869587,"POLYGON ((-76.94396999999996 39.002939999999995,-76.94396999999996 39.00501,-76.94189999999996 39.00501,-76.94189999999996 39.002939999999995,-76.94396999999996 39.002939999999995))",POINT (-76.94272327527956 39.00376680869587),9,62.449301884992,307.0519646689345
10,A10,-76.94068312703763,39.0039713832924,"POLYGON ((-76.94189999999996 39.002939999999995,-76.94189999999996 39.00501,-76.93982999999996 39.00501,-76.93982999999996 39.002939999999995,-76.94189999999996 39.002939999999995))",POINT (-76.94068312703763 39.0039713832924),6,105.56608249606398,315.553936173568
