land_use_type,building,ITE_land_description,unit_of_measure,production_rate1,attraction_rate1,production_rate2,attraction_rate2,production_rate3,attraction_rate3
Accommodation,apartments,Mid-Rise Residential wth 1st-Floor Commercial ,Dwelling Units,,0.36,,,,
,bungalow,Single-Family Detached Housing,Dwelling Units,,0.99,,,,
,cabin,Single-Family Detached Housing,Dwelling Units,,0.99,,,,
,detached,Single-Family Detached Housing,Dwelling Units,,0.99,,,,
,dormitory,Multifamily Housing (High-Rise),Dwelling Units,,0.36,,,,
,farm,,,,,,,,
,ger,Single-Family Detached Housing,Dwelling Units,,0.99,,,,
,hotel,Hotel,Rooms,,0.6,,,,
,house,Multifamily Housing (Mid-Rise),Dwelling Units,,0.44,,,,
,houseboat,,,,,,,,
,redidential,Mid-Rise Residential wth 1st-Floor Commercial ,Dwelling Units,,0.36,,,,
,semidetached_house,Single-Family Detached Housing,Dwelling Units,,0.99,,,,
,static_caravan,Mobile Home Park,Dwelling Units,,0.46,,,,
,terrace,Multifamily Housing (Mid-Rise),Dwelling Units,,0.44,,,,
Commercial,commercial,General Light Industrial,"1,000 Sq. Ft. GFA",0.63,,,,,
,industrial,General Light Industrial,"1,000 Sq. Ft. GFA",0.63,,,,,
,kiosk,"Copy, Print, and Express Ship Store","1,000 Sq. Ft. GFA",7.42,,,,,
,office,General Office Building,"1,000 Sq. Ft. GFA",1.15,,,,,
,retail,Variety Store,"1,000 Sq. Ft. GFA",6.84,,,,,
,supermarket,Supermarket,"1,000 Sq. Ft. GFA",9.24,,,,,
,warehouse,Warehousing,"1,000 Sq. Ft. GFA",0.19,,,,,
Religious,cathedral,Church,"1,000 Sq. Ft. GFA",0.49,,,,,
,chapel,Church,"1,000 Sq. Ft. GFA",0.49,,,,,
,church,Church,"1,000 Sq. Ft. GFA",0.49,,,,,
,monastery,Mosque,"1,000 Sq. Ft. GFA",4.22,,,,,
,mosque,Mosque,"1,000 Sq. Ft. GFA",4.22,,,,,
,religious,Church,"1,000 Sq. Ft. GFA",0.49,,,,,
,shrine,Mosque,"1,000 Sq. Ft. GFA",4.22,,,,,
,synagogue,Church,"1,000 Sq. Ft. GFA",0.49,,,,,
,temple,Mosque,"1,000 Sq. Ft. GFA",4.22,,,,,
Civic/Amentity,bakehouse,Bread/Donut/Bagel Shop without Drive-Through Window,"1,000 Sq. Ft. GFA",28,,,,,
,civic,,,,,,,,
,fire_station,Fire and Rescue Station,"1,000 Sq. Ft. GFA",0.48,,,,,
,government,Government Office Building,"1,000 Sq. Ft. GFA",1.71,,,,,
,hospital,Hosiptal,"1,000 Sq. Ft. GFA",0.97,,,,,
,public,Public Park,Acres,0.11,0.11,,,,
,toilets,,,,,,,,
,train_station,Intermodal Truck Terminal,"1,000 Sq. Ft. GFA",1.72,,,,,
,transportation,Intermodal Truck Terminal,"1,000 Sq. Ft. GFA",1.72,,,,,
,kindergarten,Daycare Center,"1,000 Sq. Ft. GFA",11.12,,,,,
,school,Elementary School,"1,000 Sq. Ft. GFA",1.37,,,,,
,university,University/College,"1,000 Sq. Ft. GFA",1.17,,,,,
,college,University/College,"1,000 Sq. Ft. GFA",1.17,,,,,
Africultural/Plant production,barn,,,,,,,,
,conservatory,,,,,,,,
,cowshed,,,,,,,,
,farm_auxiliary,,,,,,,,
,greenhouse,,,,,,,,
,slurry_tank,,,,,,,,
,stable,,,,,,,,
,sty,,,,,,,,
Sports,grandstand,Professional Baseball Stadium,Attendees,,0.15,,,,
,pavilion,Athletic Club,"1,000 Sq. Ft. GFA",,6.29,,,,
,riding_hall,Health/Fitness Club,"1,000 Sq. Ft. GFA",,3.45,,,,
,sports_hall,Health/Fitness Club,"1,000 Sq. Ft. GFA",,3.45,,,,
,stadium,Professional Baseball Stadium,Attendees,,0.15,,,,
Storage,hangar,,,,,,,,
,hut,,,,,,,,
,shed,,,,,,,,
Cars,carport,,,,,,,,
,garage,,,,,,,,
,garages,,,,,,,,
,parking,Park-and-Ride Lot with Bus Service,Parking Spaces,0.43,,,,,
Power/Techinical buildings,digester,Industrial Park,"1,000 Sq. Ft. GFA",0.4,,,,,
,service,Assisted Living,"1,000 Sq. Ft. GFA",0.48,,,,,
,transformer_tower,,,,,,,,
,water_tower,,,,,,,,
Other buildings,bunker,,,,,,,,
,bridge,,,,,,,,
,constrction,,,,,,,,
,container,,,,,,,,
,gatehouse,,,,,,,,
,roof,,,,,,,,
,ruins,,,,,,,,
,tree_house,,,,,,,,
,yes,,"1,000 Sq. Ft. GFA",0.1,0.1,,,,
,user defined,,,,,,,,
