o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
1,A1,1,A1,0.0,"LINESTRING (-76.9594968 39.001138,-76.9594968 39.001138)"
1,A1,2,A2,0.315684465745519,"LINESTRING (-76.9594968 39.001138,-76.9569339 39.0031716)"
1,A1,3,A3,0.8872323611574964,"LINESTRING (-76.9594968 39.001138,-76.9504188 39.0026009)"
1,A1,4,A4,1.1885003726697874,"LINESTRING (-76.9594968 39.001138,-76.9472587 39.0025326)"
1,A1,5,A5,1.7025977903332068,"LINESTRING (-76.9594968 39.001138,-76.941895 39.0023771)"
1,A1,6,A6,2.3537863396144854,"LINESTRING (-76.9594968 39.001138,-76.9351714 39.0029673)"
1,A1,7,A7,2.687857039964103,"LINESTRING (-76.9594968 39.001138,-76.9317142 39.0031635)"
1,A1,8,A8,3.275641942355931,"LINESTRING (-76.9594968 39.001138,-76.92559 39.00281)"
1,A1,9,B1,0.19034117820105467,"LINESTRING (-76.9594968 39.001138,-76.959669 38.9991729)"
1,A1,10,B2,0.46887014556250817,"LINESTRING (-76.9594968 39.001138,-76.9549095 38.9995353)"
1,A1,11,B3,0.9536120941119266,"LINESTRING (-76.9594968 39.001138,-76.94988 38.9988595)"
1,A1,12,B4,1.176513178589184,"LINESTRING (-76.9594968 39.001138,-76.9474839 38.9990493)"
1,A1,13,B5,1.8047983157480905,"LINESTRING (-76.9594968 39.001138,-76.9410162 38.9982527)"
1,A1,14,B6,2.219307757124713,"LINESTRING (-76.9594968 39.001138,-76.936625 38.9987095)"
1,A1,15,B7,2.800056914034182,"LINESTRING (-76.9594968 39.001138,-76.9307117 38.9974595)"
1,A1,16,B8,3.289130121304717,"LINESTRING (-76.9594968 39.001138,-76.92559 38.99763)"
1,A1,17,C1,0.868512566474241,"LINESTRING (-76.9594968 39.001138,-76.96185 38.99245)"
1,A1,18,C2,0.9263581847604133,"LINESTRING (-76.9594968 39.001138,-76.958073 38.9916436)"
1,A1,19,C3,1.2327813395900162,"LINESTRING (-76.9594968 39.001138,-76.9503303 38.9922381)"
1,A1,20,C4,1.4982223257825127,"LINESTRING (-76.9594968 39.001138,-76.9466612 38.9924006)"
1,A1,21,C5,2.004858691111209,"LINESTRING (-76.9594968 39.001138,-76.9408343 38.9920039)"
1,A1,22,C6,2.4456500706231825,"LINESTRING (-76.9594968 39.001138,-76.9359201 38.9918339)"
1,A1,23,C7,2.8394771891700725,"LINESTRING (-76.9594968 39.001138,-76.9312388 38.9929239)"
1,A1,24,C8,3.377359951401202,"LINESTRING (-76.9594968 39.001138,-76.92559 38.99245)"
1,A1,25,D1,1.3572523091465893,"LINESTRING (-76.9594968 39.001138,-76.96185 38.98727)"
1,A1,26,D2,1.4294503084059305,"LINESTRING (-76.9594968 39.001138,-76.9572257 38.9864986)"
1,A1,27,D3,1.5979996669704728,"LINESTRING (-76.9594968 39.001138,-76.9510262 38.9869069)"
1,A1,28,D4,1.8943835871662933,"LINESTRING (-76.9594968 39.001138,-76.9461082 38.9867784)"
1,A1,29,D5,2.2288682430329416,"LINESTRING (-76.9594968 39.001138,-76.9407873 38.9875903)"
1,A1,30,D6,2.6352445111571825,"LINESTRING (-76.9594968 39.001138,-76.9359988 38.987219)"
1,A1,31,D7,2.9495978011892574,"LINESTRING (-76.9594968 39.001138,-76.931526 38.9888053)"
1,A1,32,D8,3.5347390276919746,"LINESTRING (-76.9594968 39.001138,-76.92559 38.98727)"
1,A1,33,E1,1.8519152381637733,"LINESTRING (-76.9594968 39.001138,-76.96185 38.98209)"
1,A1,34,E2,1.890252045382485,"LINESTRING (-76.9594968 39.001138,-76.9568006 38.9817343)"
1,A1,35,E3,2.0479949239726847,"LINESTRING (-76.9594968 39.001138,-76.9520354 38.9812678)"
1,A1,36,E4,2.258022665767726,"LINESTRING (-76.9594968 39.001138,-76.9462401 38.9818534)"
1,A1,37,E5,2.582475061612152,"LINESTRING (-76.9594968 39.001138,-76.9410612 38.9817357)"
1,A1,38,E6,2.9789262646408923,"LINESTRING (-76.9594968 39.001138,-76.9357 38.9814695)"
1,A1,39,E7,3.308122694220834,"LINESTRING (-76.9594968 39.001138,-76.9313954 38.9814976)"
1,A1,40,E8,3.485654418649735,"LINESTRING (-76.9594968 39.001138,-76.9280749 38.9833154)"
1,A1,41,F1,2.3487619577366052,"LINESTRING (-76.9594968 39.001138,-76.96185 38.97691)"
1,A1,42,F2,2.256055297322077,"LINESTRING (-76.9594968 39.001138,-76.956281 38.977979)"
1,A1,43,F3,2.358981987852935,"LINESTRING (-76.9594968 39.001138,-76.9517422 38.9779525)"
1,A1,44,F4,2.5821010638864514,"LINESTRING (-76.9594968 39.001138,-76.9461577 38.9779393)"
1,A1,45,F5,2.8283648307523777,"LINESTRING (-76.9594968 39.001138,-76.94147 38.978024)"
1,A1,46,F6,3.232130996170582,"LINESTRING (-76.9594968 39.001138,-76.9353787 38.9778921)"
1,A1,47,F7,3.527661317398066,"LINESTRING (-76.9594968 39.001138,-76.9313787 38.9777715)"
1,A1,48,F8,4.021060668196358,"LINESTRING (-76.9594968 39.001138,-76.92559 38.97691)"
1,A1,49,Gate1,2.448158317310804,"LINESTRING (-76.9594968 39.001138,-76.96703 38.97691)"
1,A1,50,Gate2,1.976458059726627,"LINESTRING (-76.9594968 39.001138,-76.96703 38.98209)"
1,A1,51,Gate3,1.5228034158092363,"LINESTRING (-76.9594968 39.001138,-76.96703 38.98727)"
1,A1,52,Gate4,1.1095541855365032,"LINESTRING (-76.9594968 39.001138,-76.96703 38.99245)"
1,A1,53,Gate5,0.8018274154630759,"LINESTRING (-76.9594968 39.001138,-76.96703 38.99763)"
1,A1,54,Gate6,0.7445672460137351,"LINESTRING (-76.9594968 39.001138,-76.96703 39.00281)"
1,A1,55,Gate7,0.6990519416082185,"LINESTRING (-76.9594968 39.001138,-76.96185 39.00799)"
1,A1,56,Gate8,0.7152018390969644,"LINESTRING (-76.9594968 39.001138,-76.95667 39.00799)"
1,A1,57,Gate9,1.0168530819803407,"LINESTRING (-76.9594968 39.001138,-76.95149 39.00799)"
1,A1,58,Gate10,1.4339118439147736,"LINESTRING (-76.9594968 39.001138,-76.94631 39.00799)"
1,A1,59,Gate11,1.8915212470408238,"LINESTRING (-76.9594968 39.001138,-76.94113 39.00799)"
1,A1,60,Gate12,2.366271021247638,"LINESTRING (-76.9594968 39.001138,-76.93595 39.00799)"
1,A1,61,Gate13,2.849607153643299,"LINESTRING (-76.9594968 39.001138,-76.93077 39.00799)"
1,A1,62,Gate14,3.3378016388469254,"LINESTRING (-76.9594968 39.001138,-76.92559 39.00799)"
1,A1,63,Gate15,3.7749338339678347,"LINESTRING (-76.9594968 39.001138,-76.92041 39.00281)"
1,A1,64,Gate16,3.78664393245361,"LINESTRING (-76.9594968 39.001138,-76.92041 38.99763)"
1,A1,65,Gate17,3.863528899547988,"LINESTRING (-76.9594968 39.001138,-76.92041 38.99245)"
1,A1,66,Gate18,4.001833993333419,"LINESTRING (-76.9594968 39.001138,-76.92041 38.98727)"
1,A1,67,Gate19,4.195489426617228,"LINESTRING (-76.9594968 39.001138,-76.92041 38.98209)"
1,A1,68,Gate20,4.437254129934761,"LINESTRING (-76.9594968 39.001138,-76.92041 38.97691)"
1,A1,69,Gate21,4.330780304770278,"LINESTRING (-76.9594968 39.001138,-76.92559 38.97173)"
1,A1,70,Gate22,3.966736592968077,"LINESTRING (-76.9594968 39.001138,-76.93077 38.97173)"
1,A1,71,Gate23,3.6351034117192955,"LINESTRING (-76.9594968 39.001138,-76.93595 38.97173)"
1,A1,72,Gate24,3.3455329763587436,"LINESTRING (-76.9594968 39.001138,-76.94113 38.97173)"
1,A1,73,Gate25,3.109797653226973,"LINESTRING (-76.9594968 39.001138,-76.94631 38.97173)"
1,A1,74,Gate26,2.9408720574397385,"LINESTRING (-76.9594968 39.001138,-76.95149 38.97173)"
1,A1,75,Gate27,2.8506581588371134,"LINESTRING (-76.9594968 39.001138,-76.95667 38.97173)"
1,A1,76,Gate28,2.8466492381329918,"LINESTRING (-76.9594968 39.001138,-76.96185 38.97173)"
2,A2,1,A1,0.315684465745519,"LINESTRING (-76.9569339 39.0031716,-76.9594968 39.001138)"
2,A2,2,A2,0.0,"LINESTRING (-76.9569339 39.0031716,-76.9569339 39.0031716)"
2,A2,3,A3,0.6310440679769024,"LINESTRING (-76.9569339 39.0031716,-76.9504188 39.0026009)"
2,A2,4,A4,0.9355984912404504,"LINESTRING (-76.9569339 39.0031716,-76.9472587 39.0025326)"
2,A2,5,A5,1.4531236814387902,"LINESTRING (-76.9569339 39.0031716,-76.941895 39.0023771)"
2,A2,6,A6,2.099957109832542,"LINESTRING (-76.9569339 39.0031716,-76.9351714 39.0029673)"
2,A2,7,A7,2.4334484253232542,"LINESTRING (-76.9569339 39.0031716,-76.9317142 39.0031635)"
2,A2,8,A8,3.024573832634703,"LINESTRING (-76.9569339 39.0031716,-76.92559 39.00281)"
2,A2,9,B1,0.4674584072180968,"LINESTRING (-76.9569339 39.0031716,-76.959669 38.9991729)"
2,A2,10,B2,0.4015770082181034,"LINESTRING (-76.9569339 39.0031716,-76.9549095 38.9995353)"
2,A2,11,B3,0.7977301326647438,"LINESTRING (-76.9569339 39.0031716,-76.94988 38.9988595)"
2,A2,12,B4,0.9948094515755406,"LINESTRING (-76.9569339 39.0031716,-76.9474839 38.9990493)"
2,A2,13,B5,1.6075639626183085,"LINESTRING (-76.9569339 39.0031716,-76.9410162 38.9982527)"
