agent_id,agent_type,o_customized_node_id,d_customized_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
1,v,893,2347,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9584932 39.0042869)",0800
2,v,893,1037,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.955351 39.0018665)",0712
3,v,893,2338,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9576035 39.0020435)",0800
4,v,893,1097,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9560937 39.0019753)",0718
5,v,893,544,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9591 39.0031729)",0756
6,v,893,1037,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.955351 39.0018665)",0750
7,v,893,2347,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9584932 39.0042869)",0735
8,v,893,2338,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9576035 39.0020435)",0724
9,v,893,1012,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9541291 39.0047482)",0745
10,v,893,1037,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.955351 39.0018665)",0712
11,v,893,2338,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9576035 39.0020435)",0739
12,v,893,1012,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9541291 39.0047482)",0741
13,v,893,1097,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9560937 39.0019753)",0723
14,v,893,2345,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9588647 39.0037411)",0758
15,v,893,2339,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9550184 39.0017953)",0706
16,v,893,2345,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9588647 39.0037411)",0730
17,v,893,1036,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9556352 39.0020247)",0723
18,v,893,2346,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9585293 39.0042463)",0711
19,v,893,2348,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9586594 39.0043661)",0742
20,v,893,544,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9591 39.0031729)",0730
21,v,893,544,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9591 39.0031729)",0721
22,v,893,2339,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9550184 39.0017953)",0731
23,v,893,2348,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9586594 39.0043661)",0746
24,v,893,1097,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9560937 39.0019753)",0741
25,v,893,2339,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9550184 39.0017953)",0753
26,v,893,544,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9591 39.0031729)",0732
27,v,893,1012,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9541291 39.0047482)",0707
28,v,893,2345,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9588647 39.0037411)",0703
29,v,893,544,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9591 39.0031729)",0736
30,v,893,2339,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9550184 39.0017953)",0739
31,v,893,2345,,,1,2,"LINESTRING(-76.9594968 39.001138,-76.9588647 39.0037411)",0729
32,v,893,2575,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9514178 39.0023833)",0736
33,v,893,2528,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9489456 39.0041736)",0720
34,v,893,2466,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9500566 39.0032712)",0708
35,v,893,2571,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9514326 39.0016877)",0800
36,v,893,2458,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9513898 39.0044573)",0751
37,v,893,2428,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9524168 39.0030417)",0743
38,v,893,2612,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9518036 39.0036066)",0735
39,v,893,2370,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9498678 39.0025066)",0749
40,v,893,2529,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9493296 39.0008634)",0711
41,v,893,2621,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9512452 39.0017253)",0739
42,v,893,2349,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9516524 39.0032912)",0744
43,v,893,2404,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9491512 39.0008715)",0709
44,v,893,2660,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9525873 39.0035878)",0709
45,v,893,2524,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9521804 39.0024024)",0731
46,v,893,2647,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9502067 39.0009528)",0755
47,v,893,2431,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9498806 39.0030956)",0723
48,v,893,2481,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9516249 39.003111)",0728
49,v,893,2627,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9511461 39.0034098)",0711
50,v,893,2453,,,1,3,"LINESTRING(-76.9594968 39.001138,-76.9498375 39.0032104)",0729
