poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,childcare,"1,000 Sq. Ft. GFA",1,11.12,0.1,1,0
2,cafe,"1,000 Sq. Ft. GFA",1,0.1,36.31,0,1
3,post_office,"1,000 Sq. Ft. GFA",1,11.21,0.1,1,0
4,university;yes,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
5,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
6,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
7,greenhouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
8,car_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
9,bench,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
10,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,0,1
11,office,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
12,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
13,silo,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,arts_centre,"1,000 Sq. Ft. GFA",1,0.18,0.1,1,0
15,bar,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
16,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
17,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,0,1
18,stadium,"1,000 Sq. Ft. GFA",1,0.1,0.47,0,1
19,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
21,bleachers,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
22,ice_cream,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
23,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
24,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
25,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
26,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,0
27,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,0
28,barn,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
29,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,0,1
30,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
31,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
32,house,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
33,public,"1,000 Sq. Ft. GFA",1,4.79,0.1,1,0
34,pharmacy,"1,000 Sq. Ft. GFA",1,10.29,0.1,1,0
35,waste_disposal,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
36,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
37,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
38,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
39,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
40,motorcycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
41,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
42,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,0,1
43,smoking_area,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
44,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
